source,target,weight
"Harper, James","Dyer, Justin",1
"Elinzano, Maureen","Lewis, Matthew",1
"Elinzano, Maureen","Anderson, Harper",1
"Elinzano, Maureen","Elinzano, Maureen",1
"Elinzano, Maureen","Nielsen, Rachel",1
"Elinzano, Maureen","Holiday, Steven",1
"Wozniak, Antal","Lueck, Julia",1
"Wozniak, Antal","Wozniak, Antal",1
"Wozniak, Antal","Hofer, Lutz",1
"Wozniak, Antal","Wessler, Hartmut",1
"Rashidian, Peyman","Lewis, Robert",1
"Rashidian, Peyman","Rashidian, Peyman",1
"Rashidian, Peyman","Mangus, J. Michael",1
"Rashidian, Peyman","Grizzard, Matthew",1
"Rashidian, Peyman","Weber, Rene",1
"Xu, Shan","Xu, Shan",1
"Xu, Shan","David, Prabu",1
"Jafari, Ehsan","Boyles, Stephens",1
"Jafari, Ehsan","Zhu, Yaguang",1
"Jafari, Ehsan","Stephens, Keri",1
"Jafari, Ehsan","Ford, Jessica",1
"Jafari, Ehsan","Jafari, Ehsan",1
"Riesmeyer, Claudia","Riesmeyer, Claudia",1
"Riesmeyer, Claudia","Fawzi, Nayla",1
"Messner, Marcus","Messner, Marcus",1
"Messner, Marcus","Guidry, Jeanine",1
"Park, Seyoung","Jaeyeol, Jung",1
"Park, Seyoung","Park, Seyoung",1
"Park, Seyoung","Shin, Dong-Hee",1
"Park, Seyoung","Yoon, Hongseok",1
"Sakashita, Mototaka","Viswanathan, Vijay",1
"Sakashita, Mototaka","Sakashita, Mototaka",1
"Gallant, Linda","Boone, Gloria",1
"Gallant, Linda","Gallant, Linda",1
"Lee, Hye Mi","Lee, Hye Mi",1
"Lee, Hye Mi","Han, Soo Yeon",1
"Lee, Hye Mi","Kang, Namjun",1
"Lee, Hye Mi","Kim, Su Jung",1
"Palomares, Nicholas","Palomares, Nicholas",1
"Palomares, Nicholas","Li, Siyue",1
"Palomares, Nicholas","Grasso, Katherine",1
"Linton, David","Linton, David",1
"Jeong, Minseon","Austin, Erica",1
"Jeong, Minseon","Jeong, Minseon",1
"Jeong, Minseon","Pinkleton, Bruce",1
"Jeong, Minseon","Borah, Porismita",1
"Wendelin, Manuel","Wendelin, Manuel",1
"Wendelin, Manuel","Engelmann, Ines",1
"Brossard, Dominique","Scheufele, Dietram",1
"Brossard, Dominique","Su, Leona Yi-Fan",1
"Brossard, Dominique","Wilson, Paul",1
"Brossard, Dominique","Scopatz, Anthony",1
"Brossard, Dominique","Li, Nan",1
"Brossard, Dominique","Brossard, Dominique",1
"Jun, Jungmi","Jun, Jungmi",1
"Jeong, David","Jeong, David",1
"Legara, Erika","David, Clarissa",1
"Legara, Erika","Legara, Erika",1
"Lahti, Malgorzata","Vlipakka, Hannele",1
"Lahti, Malgorzata","Croucher, Stephen",1
"Lahti, Malgorzata","Zeng, Cheng",1
"Lahti, Malgorzata","Lahti, Malgorzata",1
"Tamul, Daniel","Tamul, Daniel",1
"Dang, Chau-sa","Kline, Susan",1
"Dang, Chau-sa","Dang, Chau-sa",1
"Wenzel, Andrea","Wenzel, Andrea",1
"Godler, Yigal","Reich, Zvi",1
"Godler, Yigal","Godler, Yigal",1
"zhou, Peiyun","Ren, Yilin",2
"zhou, Peiyun","zhou, Peiyun",1
"Roser-Renouf, Connie","Leiserowitz, Anthony",1
"Roser-Renouf, Connie","Roser-Renouf, Connie",1
"Roser-Renouf, Connie","Maibach, Edward",1
"Xue, Hao","Seo, Hyunjin",1
"Xue, Hao","Li, Fengjun",1
"Xue, Hao","Vekapu, Sreenivas",1
"Xue, Hao","Xue, Hao",1
"Xue, Hao","Lim, Jeongsub",1
"Xue, Hao","Pluretti, Roseann",1
"Ogan, Christine","Giglou, Roya",1
"Ogan, Christine","d'Haenens, Leen",1
"Ogan, Christine","Ogan, Christine",1
"Zhang, Di","Pan, Shuya",1
"Zhang, Di","Zhang, Di",1
"Jungblut, Marc","Hoxha, Abit",1
"Jungblut, Marc","Jungblut, Marc",1
"Pure, Rebekah","Metzger, Miriam",1
"Pure, Rebekah","Pure, Rebekah",1
"Laughlin, Corrina","Laughlin, Corrina",1
"Uppal, Charu","Uppal, Charu",1
"Casasanto, Daniel","Bailey, Jakki",1
"Casasanto, Daniel","Bailenson, Jeremy",1
"Casasanto, Daniel","Casasanto, Daniel",1
"Gross, Alexander","Bowman, Sawyer",1
"Gross, Alexander","Murthy, Dhiraj",1
"Gross, Alexander","Gross, Alexander",1
"Gross, Alexander","mcgarry, marisa",1
"Metag, Julia","Fchslin, Tobias",1
